Gene symbol,Gene name,Hour(s) with a significant caste difference:,logFC at 2h,logFC at 4h,logFC at 6h,logFC at 8h
LOC408478,facilitated trehalose transporter Tret1,4,0.48,0.75,0.54,0.48
LOC100576132,uncharacterized LOC100576132,"4, 6, 8",-0.28,-0.41,-0.55,-1.02
LOC724348,short-chain dehydrogenase/reductase,"4, 8",0.06,0.67,0.49,1.04
LOC113218671,uncharacterized LOC113218671,8,0.39,0.16,0.65,1.06
LOC412330,ubiquitin-conjugating enzyme E2 H,"4, 8",0.26,0.85,0.46,0.67
LOC107965237,flocculation protein FLO11,"6, 8",0.26,0.46,0.76,0.77
LOC408455,zinc finger protein rotund,"4, 6",0.46,0.63,0.71,0.45
LOC408607,SEC23-interacting protein,"4, 6, 8",0.28,0.67,0.77,0.52
LOC100577269,uncharacterized LOC100577269,8,0.33,0.6,0.37,0.94
LOC725800,fibrillin-2,"6, 8",0,-0.57,-0.71,-0.96
LOC726149,sodium channel protein Nach,8,0.19,0.47,0.68,0.9
LOC409882,TLD domain-containing protein 2,"4, 6, 8",0.14,0.73,0.68,0.69
LOC410756,regulating synaptic membrane exocytosis protein 1,8,0.22,0.65,0.42,0.93
LOC725344,histone H2B,"6, 8",0.17,0.59,0.7,0.75
LOC113219388,uncharacterized LOC113219388,"6, 8",0.05,0.61,0.73,0.84
LOC100576287,uncharacterized LOC100576287,8,0.02,0.54,0.31,1.34
LOC102656571,uncharacterized LOC102656571,"6, 8",0.41,0.33,0.55,0.91
LOC113219265,trypsin-1-like,6,-0.07,0.45,-1.63,-0.96
GlnS,glutamine synthetase,6,0.4,0.5,0.86,0.44
LOC107964221,uncharacterized LOC107964221,"4, 6, 8",0.03,0.72,0.66,0.78
LOC107965624,uncharacterized LOC107965624,8,0.22,0.7,0.35,0.93
LOC413385,uncharacterized LOC413385,"4, 6, 8",0.23,0.78,0.64,0.54
LOC725272,histone H3,"4, 8",-0.09,0.79,0.55,0.94
LOC725632,protein MCM10 homolog,"6, 8",-0.27,-0.44,-0.8,-0.67
LOC551123,RNA-binding protein Musashi homolog Rbp6,8,-0,0.87,0.44,0.87
LOC409633,ras-related and estrogen-regulated growth inhibitor,8,0.72,0.07,0.36,1.02
LOC100576690,negative elongation factor E,6,0.39,0.68,0.8,0.3
LOC409203,UDP-glucuronosyltransferase 2A3,"4, 8",0.25,0.84,0.43,0.65
LOC724307,paired mesoderm homeobox protein 2-like,8,0.34,0.63,0.56,0.62
LOC107964328,bone morphogenetic protein 10,"6, 8",0.06,0.14,-1.11,-1.26
LOC100576508,uronyl 2-sulfotransferase,8,0.01,0.26,0.84,1.05
LOC726658,uncharacterized LOC726658,"6, 8",0.29,0.54,0.69,0.64
LOC725046,uncharacterized LOC725046,"4, 8",0.26,0.61,0.41,0.87
LOC408280,cell surface glycoprotein 1,8,-0.13,0.83,0.38,1.08
LOC412688,ribosome biogenesis protein NOP53,"6, 8",-0.31,-0.46,-0.67,-0.71
LOC107964020,alpha-tocopherol transfer protein,8,0.18,0.57,0.58,0.81
LOC725918,"39S ribosomal protein L53, mitochondrial","4, 6, 8",-0.11,-0.56,-0.79,-0.68
Gpdh,glycerol-3-phosphate dehydrogenase,"6, 8",0.21,0.5,0.81,0.62
LOC726158,glutathione hydrolase 1 proenzyme,"4, 6, 8",-0.01,-0.57,-0.7,-0.85
LOC725308,histone H2A,8,0.13,0.62,0.52,0.86
LOC113219349,uncharacterized LOC113219349,8,-0.01,-0.46,-0.63,-1.03
LOC100578300,uncharacterized LOC100578300,8,0.3,0.5,0.63,0.69
LOC107965094,uncharacterized LOC107965094,6,0.15,0.64,0.76,0.57
LOC409701,zwei Ig domain protein zig-8,"4, 6, 8",-0.02,0.7,0.66,0.78
LOC113218525,uncharacterized LOC113218525,"4, 8",0.3,0.75,0.06,1.01
Obp14,odorant binding protein 14,"6, 8",-0.12,-0.54,-0.76,-0.7
LOC107964315,uncharacterized LOC107964315,8,0.22,0.59,0.33,0.97
LOC724189,uncharacterized LOC724189,8,0.11,0.57,0.62,0.8
LOC409869,kinesin 3A,"4, 8",0.26,0.6,0.5,0.74
LOC409207,synaptic vesicle membrane protein VAT-1 homolog-like,4,0.39,0.82,0.55,0.33
Cyp314a1,cytochrome P450 314A1,8,0.09,0.52,0.69,0.8
LOC408406,cyclin-dependent kinase 4,"4, 8",0.4,0.72,0.45,0.52
LOC107964233,uncharacterized LOC107964233,8,0.42,-0.89,-0.75,-0.87
LOC727254,mitochondrial cardiolipin hydrolase,8,-0.07,0.67,0.44,1.05
LOC102655645,uncharacterized LOC102655645,"6, 8",0.47,0.25,0.68,0.69
LOC410464,protein escargot,"6, 8",0.04,0.5,0.65,0.88
LOC113218669,uncharacterized LOC113218669,8,0.1,0.57,0.3,1.12
LOC100578925,protein Tob1,4,0.3,0.81,0.51,0.46
LOC113218997,uncharacterized LOC113218997,8,-0.33,0.54,0.61,1.25
LOC551055,1-acylglycerol-3-phosphate O-acyltransferase Pnpla3,6,0.41,0.62,0.76,0.29
LOC724654,cytochrome b5,8,-0.17,0.78,0.46,1
LOC727135,uncharacterized LOC727135,"4, 6, 8",0.08,0.59,0.66,0.73
LOC724904,acylphosphatase-2,"6, 8",-0.42,0.11,1.22,1.16
LOC100577268,uncharacterized LOC100577268,4,-0.06,0.95,0.6,0.58
LOC100577028,insulin-like growth factor I,8,0.21,0.32,0.28,1.24
LOC408525,neuronal acetylcholine receptor subunit alpha-10,8,-0.03,0.41,0.55,1.13
LOC100577635,uncharacterized LOC100577635,8,0.32,0.43,0.47,0.84
LOC100577455,golgin subfamily A member 6-like protein 22,4,0.36,0.85,0.63,0.22
LOC100578618,uncharacterized LOC100578618,8,-0.3,0.57,0.88,0.91
CSP3,chemosensory protein 3,8,0.01,0.64,0.57,0.84
LOC102654184,plectin,"6, 8",-0.04,0.35,0.7,1.05
LOC409424,"solute carrier family 2, facilitated glucose transporter member 1",6,0.42,0.48,0.85,0.3
Csd,complementary sex determiner,"6, 8",-0.27,-0.53,-0.66,-0.6
LOC726571,venom acid phosphatase Acph-1,"6, 8",0.19,0.51,0.63,0.71
LOC100578881,histone H3.3-like type 1,6,-0.41,-0.38,-0.78,-0.49
LOC100578233,dynein regulatory complex protein 1,"6, 8",-0.13,-0.4,-0.91,-0.61
LOC726953,parathyroid hormone/parathyroid hormone-related peptide receptor,6,0.42,0.56,0.94,0.12
LOC113218601,uncharacterized LOC113218601,4,0.3,0.8,0.43,0.52
LOC409639,UPF0183 protein CG7083,8,0.22,0.63,0.53,0.67
LOC725725,peritrophin-1,8,-0.04,0.51,0.16,1.41
LOC102655699,uncharacterized LOC102655699,"6, 8",-0.02,0.46,0.72,0.89
LOC410468,protein hairy,"6, 8",0,0.54,0.69,0.82
LOC724286,uncharacterized LOC724286,6,0.11,0.57,0.91,0.46
LOC107965509,uncharacterized LOC107965509,8,0.15,0.71,0.47,0.72
LOC102654638,uncharacterized LOC102654638,4,0.24,0.78,0.47,0.54
LOC410449,uncharacterized LOC410449,8,-0,0.53,0.51,0.99
LOC100576746,uncharacterized LOC100576746,8,0.18,0.56,0.43,0.85
LOC410200,mRNA turnover protein 4 homolog,"6, 8",-0.24,-0.41,-0.72,-0.65
LOC726424,metabotropic glutamate receptor,"6, 8",-0.1,-0.52,-0.65,-0.74
LOC725361,A disintegrin and metalloproteinase with thrombospondin motifs adt-1,"6, 8",0.14,0.27,0.59,1.02
LOC726542,histone H3,"4, 6, 8",0.1,0.6,0.49,0.82
LOC107964909,uncharacterized LOC107964909,"4, 8",-0.27,0.97,0.55,0.76
LOC725389,box A-binding factor,"6, 8",0.27,0.41,0.71,0.6
LOC100576569,uncharacterized LOC100576569,8,-0.04,0.75,0.58,0.7
LOC100576528,uncharacterized LOC100576528,"4, 8",0.31,0.74,0.35,0.59
LOC726736,laminin subunit beta-1,8,-0.07,-0.52,-0.41,-0.99
LOC100577955,odorant receptor 13a,8,0.27,0.03,0.38,1.32
LOC408310,caveolin-3,8,0.2,0.77,0.13,0.9
LOC410705,synaptic vesicle glycoprotein 2C,8,0.27,0.6,0.34,0.78
LOC551465,"homogentisate 1,2-dioxygenase",8,0.01,0.43,0.34,1.21
LOC107964742,uncharacterized LOC107964742,8,-0.3,1.04,0.26,0.98
LOC412858,hemicentin-2,6,0.55,0.34,0.75,0.35
LOC102654750,uncharacterized LOC102654750,8,-0.28,0.44,0.81,1.01
LOC408727,SET and MYND domain-containing protein 4-like,8,0.32,0.42,0.29,0.96
LOC410179,uncharacterized LOC410179,"6, 8",0.26,0.49,0.63,0.6
LOC107964412,N-glycosylase/DNA lyase,"4, 6, 8",-0.37,-0.59,-0.56,-0.45
LOC409780,CUGBP Elav-like family member 2,4,0.26,0.84,0.34,0.54
LOC408827,carbonic anhydrase 1,4,0.45,0.7,0.43,0.38
LOC107965363,uncharacterized LOC107965363,8,-0.04,0.57,0.55,0.89
LOC725391,uncharacterized LOC725391,8,0.3,-0.08,0.66,1.08
LOC412299,muscarinic acetylcholine receptor DM1,4,0.54,0.57,0.43,0.42
LOC408320,uncharacterized LOC408320,8,0.07,0.66,0.47,0.76
LOC726393,capa receptor-like GPCR,4,0.04,0.92,0.49,0.51
LOC550645,max-binding protein MNT,"6, 8",0.09,0.55,0.61,0.71
LOC413478,spermine oxidase,"6, 8",-0.09,0.31,0.78,0.95
LOC102655299,uncharacterized LOC102655299,8,-0.06,0.54,0.59,0.88
LOC724962,uncharacterized LOC724962,"6, 8",-0.25,0.72,0.88,0.6
LOC725189,protein bric-a-brac 2,"4, 6, 8",0.11,0.65,0.53,0.67
LOC102653596,uncharacterized LOC102653596,8,-0.13,0.43,0.68,0.98
LOC551562,"dynein beta chain, ciliary",8,-0.06,0.59,0.51,0.91
LOC727239,protein P54-like,"6, 8",-0.19,-0.36,-0.57,-0.84
LOC100577997,CAPA peptides,8,-0.08,0.59,0.43,1.01
LOC724687,disks large-associated protein 5,8,-0.25,-0.5,-0.51,-0.69
LOC410948,aromatic-L-amino-acid decarboxylase,"6, 8",-0.23,0.34,1.06,0.77
LOC551406,cell growth-regulating nucleolar protein,8,-0.14,-0.53,-0.5,-0.77
LOC107964138,uncharacterized LOC107964138,8,-0.49,-0.54,-0.4,-0.51
LOC107965413,uncharacterized LOC107965413,8,0.37,0.31,0.5,0.75
LOC725335,"probable cytochrome P450 12a5, mitochondrial",8,-0.03,0.76,0.51,0.69
LOC726629,uncharacterized LOC726629,8,-0.09,0.43,0.43,1.16
Dnmt3,DNA methyltransferase 3,"4, 6, 8",0.01,0.57,0.49,0.87
LOC102653658,uncharacterized LOC102653658,"6, 8",-0.13,-0.23,-0.68,-0.89
LOC726923,DNA polymerase epsilon subunit 3,6,-0.49,-0.33,-0.73,-0.37
LOC551553,facilitated trehalose transporter Tret1,"6, 8",0.26,0.22,0.73,0.7
LOC411113,solute carrier family 12 member 4,"4, 8",0.34,0.58,0.45,0.54
LOC725765,uncharacterized LOC725765,"6, 8",0.13,0.21,0.69,0.88
LOC113218571,hydrocephalus-inducing protein-like,8,0.26,0.53,0.05,1.06
LOC100576082,MATH and LRR domain-containing protein PFE0570w,8,0.15,-0.54,-0.52,-0.99
LOC113218523,uncharacterized LOC113218523,4,0.29,0.98,0.06,0.58
LOC409131,monocarboxylate transporter 12,"6, 8",0.28,0.39,0.54,0.68
LOC408759,protein FAM102B,8,0.13,0.77,0.34,0.67
Cyp4g11,cytochrome P450 4G11,"6, 8",0.16,0.31,0.51,0.91
LOC100576736,uncharacterized LOC100576736,8,0.44,0.28,0.29,0.9
LOC100578703,uncharacterized LOC100578703,"6, 8",0.01,0.5,0.69,0.7
LOC100578361,uncharacterized LOC100578361,8,-0.51,-0.41,-0.14,-0.84
LOC100576136,zinc finger BED domain-containing protein 1,6,0.01,-0.37,-1.07,-0.47
LOC408822,uncharacterized LOC408822,4,0.21,0.91,0.25,0.52
LOC410706,rho GTPase-activating protein 7,"4, 6, 8",0.12,0.67,0.54,0.58
LOC406147,short-chain dehydrogenase/reductase,8,-0.32,-0.15,-0.38,-1.03
LOC410860,battenin,6,0.61,0.21,0.68,0.38
LOC408465,vesicle-associated membrane protein 2,"4, 8",0.1,0.7,0.48,0.61
LOC409288,tribbles homolog 2,8,0.33,0.41,0.51,0.64
LOC100578430,uncharacterized LOC100578430,6,0.07,0.54,0.85,0.42
LOC410805,open rectifier potassium channel protein 1,"4, 6, 8",0.24,0.53,0.69,0.42
LOC551290,cathepsin O,"4, 6, 8",0.15,0.6,0.47,0.65
LOC409966,dexamethasone-induced Ras-related protein 1,"6, 8",0.05,0.48,0.73,0.61
Hsp90,heat shock protein 90,"6, 8",0.39,-0.65,-1.05,-0.57
LOC412619,amidophosphoribosyltransferase,"6, 8",0.01,0.28,0.69,0.89
LOC107964398,ADP/ATP translocase 1,8,-0.21,0.5,0.66,0.92
LOC102656349,uncharacterized LOC102656349,4,-0.05,1.02,0.47,0.43
LOC100577054,uncharacterized LOC100577054,8,-0.19,0.36,0.64,1.07
LOC725746,uncharacterized LOC725746,"4, 6, 8",-0.18,-0.34,-0.7,-0.66
LOC726750,fibroin heavy chain,8,0.25,0.43,0.33,0.87
LOC408532,myophilin,"6, 8",0.21,0.4,0.56,0.69
LOC551948,uracil phosphoribosyltransferase homolog,"4, 6, 8",-0.07,-0.71,-0.5,-0.59
LOC411570,TPPP family protein CG45057,"6, 8",0.4,0.33,0.62,0.51
LOC409105,uncharacterized LOC409105,"6, 8",0.16,0.51,0.59,0.59
LOC102654445,uncharacterized LOC102654445,8,0.21,0.4,0.47,0.78
LOC113218632,uncharacterized LOC113218632,"4, 8",0.18,0.68,0.43,0.56
LOC551087,periodic tryptophan protein 2 homolog,8,-0.17,-0.43,-0.46,-0.79
LOC100577043,uncharacterized LOC100577043,8,-0.39,0.83,0.56,0.85
LOC411700,heat shock protein 83,4,0.1,-0.95,-0.64,-0.37
LOC413086,DNA ligase 3,"4, 6, 8",-0.02,0.58,0.56,0.73
LOC107964319,calmodulin-lysine N-methyltransferase,8,0.34,0.44,0.44,0.64
LOC107964093,uncharacterized LOC107964093,"4, 8",-0.01,0.9,0.19,0.77
LOC408809,diacylglycerol kinase theta,8,0.14,0.68,0.45,0.58
LOC408664,homeodomain-interacting protein kinase 2,8,0.27,0.6,0.36,0.62
LOC413942,"acyl-CoA synthetase short-chain family member 3, mitochondrial","6, 8",0.25,0.41,0.62,0.56
LOC410852,protein Fe65 homolog,"4, 6",0.23,0.61,0.65,0.34
LOC410323,"dynein heavy chain 7, axonemal",8,0.33,0.15,0.47,0.87
LOC102655420,uncharacterized LOC102655420,6,-0.35,-0.54,-0.62,-0.31
LOC408877,neurogenic protein mastermind,4,0.19,0.86,0.41,0.37
LOC100577092,uncharacterized LOC100577092,8,0.17,0.7,0.33,0.63
LOC724119,ESF1 homolog,"6, 8",-0.21,-0.4,-0.57,-0.64
LOC411114,synaptosomal-associated protein 25,"6, 8",0.06,0.51,0.51,0.73
LOC100578448,uncharacterized LOC100578448,4,-0,0.98,0.44,0.4
LOC725362,protein arginine N-methyltransferase 1,"4, 6, 8",-0.04,-0.54,-0.64,-0.6
LOC410998,E3 ubiquitin-protein ligase TRIM9,6,0.28,0.53,0.55,0.45
LOC107965805,uncharacterized LOC107965805,8,0.1,0.48,0.26,0.97
LOC410795,trehalase,"4, 6, 8",0.23,0.55,0.52,0.5
LOC412764,MFS-type transporter SLC18B1,"6, 8",-0.25,-0.46,-0.58,-0.53
LOC113218779,70 kDa peptidyl-prolyl isomerase-like,8,-0.3,-0.39,-0.48,-0.63
LOC726353,uncharacterized LOC726353,6,0.25,-0.12,1.2,0.47
LOC725782,"alpha-actinin, sarcomeric","4, 8",0.09,0.64,0.43,0.64
LOC100577723,uncharacterized LOC100577723,8,-0.06,0.63,0.44,0.79
LOC551629,"isoleucine--tRNA ligase, cytoplasmic",8,0.11,-0.57,-0.45,-0.89
LOC552844,complexin,4,-0.02,0.97,0.45,0.4
LOC100577228,uncharacterized protein MAL13P1.304,8,0.32,-0.64,-0.34,-1.13
LOC552101,uncharacterized LOC552101,8,0.11,0.64,0.44,0.6
LOC724685,protein-L-isoaspartate O-methyltransferase domain-containing protein 1,"4, 6, 8",-0.05,0.55,0.67,0.63
LOC725154,serine protease snake,"6, 8",-0.2,-0.29,-0.45,-0.86
LOC551558,trichohyalin,"6, 8",0.11,0.5,0.59,0.6
LOC408852,protein similar,8,0.37,0.24,0.6,0.58
LOC726961,testis-expressed protein 10 homolog,8,0.07,-0.57,-0.55,-0.73
LOC100578394,uncharacterized LOC100578394,8,0.23,0.02,0.61,0.92
LOC408844,dual specificity protein phosphatase 10,8,0.12,0.57,0.41,0.69
LOC102655878,uncharacterized LOC102655878,8,-0.23,0.53,0.45,1.04
Gb15078,GB15078 protein,8,0.11,0.46,0.42,0.8
LOC102654929,uncharacterized LOC102654929,"4, 8",-0.04,0.78,0.24,0.79
LOC408955,"4-aminobutyrate aminotransferase, mitochondrial","6, 8",0.11,0.34,0.65,0.68
LOC102653777,uncharacterized LOC102653777,8,0.09,0.34,0.33,1.02
LOC409306,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial",8,0.02,0.43,0.43,0.89
LOC726289,transcription factor AP-1,"4, 6",0.29,0.61,0.53,0.34
LOC102655950,peroxisome biogenesis factor 2,8,-0,0.61,0.38,0.78
LOC107964499,uncharacterized LOC107964499,4,0.18,0.72,0.44,0.43
LOC411833,la protein homolog,"6, 8",-0.19,-0.34,-0.51,-0.72
LOC411091,RNA-binding protein 34,8,-0.3,-0.26,-0.48,-0.72
Qbp-1,Queen brain-selective protein-1,8,-0.43,0.46,0.75,0.99
LOC410867,uncharacterized LOC410867,"4, 6",0.23,0.59,0.53,0.42
LOC412458,farnesol dehydrogenase,"4, 6, 8",0.17,0.53,0.57,0.5
LOC725607,cyclin-dependent kinase 2-associated protein 1,8,-0.07,-0.43,-0.61,-0.65
LOC726335,protein CBFA2T2,8,0.13,0.45,0.5,0.68
LOC551647,uncharacterized LOC551647,"6, 8",0.3,0.31,0.62,0.52
LOC100578901,DPH3 homolog,8,-0.32,-0.38,-0.43,-0.63
LOC724721,farnesol dehydrogenase,"6, 8",0.18,0.49,0.56,0.52
LOC412810,V-type proton ATPase 116 kDa subunit a,6,0.4,0.27,0.72,0.36
LOC725302,H2.0-like homeobox protein,8,0.09,0.65,0.29,0.72
LOC725967,D-3-phosphoglycerate dehydrogenase,"6, 8",0.23,0.3,0.52,0.71
LOC552556,arginase-1,8,-0.03,0.21,0.56,1.01
LOC552377,diacylglycerol O-acyltransferase 1,8,0.08,0.55,0.45,0.66
LOC409839,regulator of nonsense transcripts 1,4,0.34,0.6,0.47,0.34
LOC552373,dolichyldiphosphatase 1,"4, 6, 8",-0.06,-0.45,-0.66,-0.59
LOC726251,uncharacterized LOC726251,8,-0.03,-0.29,-0.54,-0.88
LOC411065,monocarboxylate transporter 14,"6, 8",0.2,-0.49,-0.62,-0.83
LOC408733,protein pinocchio,"6, 8",0.4,0.3,0.62,0.42
LOC408696,uncharacterized LOC408696,8,0.12,0.42,0.31,0.89
LOC102656274,uncharacterized LOC102656274,8,-0.01,0.27,0.44,1.03
LOC107965723,uncharacterized LOC107965723,8,-0.42,-0.34,-0.37,-0.6
LOC100577014,uncharacterized LOC100577014,"4, 8",0.1,0.57,0.46,0.6
LOC551602,ras GTPase-activating protein-binding protein 2,8,0.31,-0.47,-0.36,-1.22
LOC100577306,uncharacterized LOC100577306,8,0.19,0.66,0.09,0.8
LOC100577875,tenascin,8,-0.03,0.39,0.44,0.94
LOC412128,DENN domain-containing protein 5B,6,0.45,0.44,0.65,0.18
LOC409950,fibrillin-1,"4, 6, 8",0.06,0.48,0.62,0.57
LOC102655278,uncharacterized LOC102655278,"4, 8",-0.17,0.9,0.18,0.82
LOC102653800,"glutamate receptor ionotropic, kainate 2",8,0.03,0.3,0.53,0.86
LOC726535,secretin receptor,8,-0,0.51,0.26,0.95
LOC552657,phosphoribosylformylglycinamidine synthase,"6, 8",-0.02,0.27,0.64,0.84
LOC408818,hexokinase-1,"6, 8",0.21,0.38,0.58,0.55
LOC725952,uncharacterized LOC725952,8,-0.26,0.62,0.46,0.91
cad,homeotic protein caudal,8,-0.09,-0.03,-0.59,-1
Mir1175,microRNA mir-1175,6,-0.17,-0.39,-0.83,-0.33
LOC102654925,uncharacterized LOC102654925,6,-0.11,-0.46,-0.68,-0.45
LOC724770,uncharacterized LOC724770,"6, 8",-0.08,-0.47,-0.52,-0.64
LOC410001,regulating synaptic membrane exocytosis protein 2,4,0.15,0.72,0.35,0.48
LOC107965637,uncharacterized LOC107965637,8,0.32,-0.14,0.62,0.9
LOC107965038,zinc transporter 2,"4, 8",0.15,0.5,0.43,0.63
LOC724936,uncharacterized LOC724936,8,0.49,0.12,0.3,0.8
LOC725258,very-long-chain 3-oxoacyl-CoA reductase,8,0.22,-0.12,0.49,1.12
LOC100578068,lateral signaling target protein 2 homolog,4,0.17,0.95,0.37,0.21
LOC413390,ATP-binding cassette sub-family F member 1,"4, 6, 8",-0.03,-0.59,-0.45,-0.62
LOC410862,solute carrier family 41 member 3,"4, 8",0.4,-0.73,-0.21,-1.15
LOC411629,zinc finger protein ubi-d4 A,"4, 6, 8",-0.04,-0.55,-0.56,-0.55
LOC409928,RNA polymerase II elongation factor Ell,6,0.5,0.61,0.66,-0.08
LOC411187,L-lactate dehydrogenase,8,0.1,0.04,0.38,1.18
LOC100577127,"proline-, glutamic acid- and leucine-rich protein 1",8,-0.15,-0.38,-0.4,-0.77
LOC725453,guanine nucleotide-binding protein subunit gamma-e,4,0.03,0.73,0.44,0.49
LOC552600,GILT-like protein 1,8,0.1,0.32,0.47,0.8
LOC102653690,uncharacterized LOC102653690,8,0.04,0.54,0.4,0.72
LOC724133,peptide chain release factor 1,8,-0.41,-0.35,-0.47,-0.46
LOC100578561,early growth response protein 1,8,0.12,0.37,0.48,0.72
LOC726019,protein PTHB1-like,8,-0.21,0.52,0.14,1.24
LOC100578706,uncharacterized LOC100578706,"4, 6, 8",0.27,0.41,0.52,0.49
LOC113219230,protein canopy homolog 3,"6, 8",-0.18,-0.24,-0.65,-0.61
LOC410498,potassium voltage-gated channel subfamily H member 6,"4, 6, 8",0.09,0.59,0.59,0.43
LOC102655449,uncharacterized LOC102655449,8,0.13,0.49,-0.14,1.21
LOC726278,synaptic vesicular amine transporter-like,8,0.34,0.32,0.37,0.67
LOC726861,myosuppressin,8,0.06,0.47,0.54,0.62
LOC726286,uncharacterized LOC726286,8,0.04,0.37,0.53,0.74
LOC100577332,GATA-binding factor C,"6, 8",-0.16,0.29,0.64,0.92
LOC409142,sodium- and chloride-dependent transporter XTRP3,8,0.15,0.49,0.42,0.63
LOC410982,protein croquemort,8,0.03,0.4,0.43,0.83
LOC102654832,uncharacterized LOC102654832,"4, 6, 8",-0.26,-0.5,-0.55,-0.37
LOC412131,kinesin 4B,8,-0.24,-0.37,-0.42,-0.65
LOC102656085,uncharacterized LOC102656085,8,-0.29,-0.5,-0.37,-0.52
LOC551197,probable cytochrome P450 6a13,"6, 8",0.04,0.4,0.66,0.58
LOC100577958,putative uncharacterized protein DDB_G0282133,8,-0.08,-0.56,-0.28,-0.76
LOC410207,dihydropyrimidine dehydrogenase [NADP(+)],"6, 8",0.16,0.3,0.67,0.55
LOC107964061,cell wall integrity and stress response component 1,6,0.38,0.27,0.79,0.23
LOC726323,uncharacterized LOC726323,8,0.07,0.33,0.49,0.78
LOC409023,methylthioribose-1-phosphate isomerase,"6, 8",-0.13,-0.35,-0.74,-0.45
LOC726978,homeodomain-only protein,8,0.11,0.2,0.59,0.77
LOC412308,flap endonuclease 1,"6, 8",-0.27,-0.25,-0.51,-0.65
LOC726695,uncharacterized LOC726695,8,0.04,-0.42,-0.44,-0.85
LOC411353,lipase 3,"6, 8",0.06,0.32,0.5,0.78
LOC412031,S-phase kinase-associated protein 2,"4, 6, 8",-0.13,-0.44,-0.67,-0.43
LOC551661,uncharacterized LOC551661,8,0.11,0.32,0.27,0.97
nanos,protein nanos,"4, 8",-0.12,0.78,0.48,0.52
LOC726282,uncharacterized LOC726282,8,0.13,0.45,0.33,0.75
LOC408463,uncharacterized LOC408463,8,0.05,0.31,0.42,0.89
LOC411509,tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A,"4, 6, 8",-0.25,-0.45,-0.45,-0.51
Adar,adenosine deaminase acting on RNA,8,0.14,0.49,0.26,0.77
LOC724457,uncharacterized LOC724457,"6, 8",-0.35,-0.24,-0.6,-0.47
LOC113218927,uncharacterized LOC113218927,8,-0.04,0.47,0.38,0.84
LOC725414,histone H3,8,-0.03,0.61,0.28,0.8
LOC551524,zinc carboxypeptidase,6,-0.44,-0.07,-0.82,-0.33
LOC552832,glycine N-methyltransferase,8,0.15,0.25,0.27,0.98
LOC724378,BMP and activin membrane-bound inhibitor homolog,8,0.18,0.4,0.43,0.63
LOC412876,"pyruvate carboxylase, mitochondrial",6,0.35,0.41,0.68,0.2
LOC100577641,protein snakeskin,8,0.05,0.42,0.48,0.7
LOC408872,COUP transcription factor 2,8,0.02,0.42,0.51,0.7
LOC113219352,uncharacterized LOC113219352,8,-0.07,-0.54,-0.25,-0.78
LOC100577214,protein giant-lens,8,0.1,0.49,0.4,0.64
LOC113219244,zinc finger protein 346-like,8,0.1,0.48,0.3,0.76
LOC409483,protein lin-54 homolog,8,0.12,-0.38,-0.11,-1.28
LOC725841,hyaluronan mediated motility receptor,8,-0.06,-0.39,-0.41,-0.77
LOC725455,fructose-bisphosphate aldolase,8,-0.31,0.66,0.45,0.85
LOC100576625,uncharacterized LOC100576625,"6, 8",-0.15,-0.48,-0.55,-0.46
LOC551869,vitamin K-dependent gamma-carboxylase,8,0.29,0.35,0.51,0.49
LOC113218548,cilia- and flagella-associated protein 251-like,8,-0.16,0.57,0.53,0.7
LOC410479,zwei Ig domain protein zig-8,"4, 8",-0.02,0.68,0.24,0.75
LOC725970,"protein still life, isoform SIF type 1","4, 8",0.16,0.68,0.32,0.48
LOC724995,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha,"6, 8",-0.22,-0.3,-0.69,-0.42
LOC100576828,protein maelstrom homolog,"4, 8",-0.29,-0.59,-0.27,-0.49
LOC102655746,uncharacterized LOC102655746,6,-0.26,-0.46,-0.5,-0.42
LOC107964603,uncharacterized LOC107964603,8,-0.18,0.12,0.68,1.01
LOC552839,TATA box-binding protein-associated factor RNA polymerase I subunit B,8,-0.02,-0.42,-0.54,-0.66
LOC102653649,uncharacterized LOC102653649,8,-0.28,0.28,-0.06,1.69
LOC551918,chromatin assembly factor 1 subunit B,"6, 8",-0.1,-0.46,-0.54,-0.53
LOC100578437,ataxin-7-like protein 1,8,-0.01,0.49,0.33,0.81
LOC100577165,uncharacterized LOC100577165,6,-0.22,0.54,0.86,0.45
LOC408918,death-associated protein 1,8,0.16,0.42,0.38,0.68
LOC102655073,histone H4,"4, 8",0.01,0.72,0.33,0.56
LOC724874,facilitated trehalose transporter Tret1,6,-0.04,0.42,0.73,0.52
LOC725404,"actin, muscle",8,-0.11,0.24,0.56,0.94
LOC725178,chitooligosaccharidolytic beta-N-acetylglucosaminidase,4,-0.01,0.82,0.34,0.48
LOC100576936,uncharacterized LOC100576936,8,0.01,0.36,0.08,1.16
LOC102656388,uncharacterized LOC102656388,6,-0.15,-0.45,-0.81,-0.21
LOC410554,"methylcrotonoyl-CoA carboxylase beta chain, mitochondrial","6, 8",0.12,0.4,0.5,0.6
LOC410379,uncharacterized LOC410379,"4, 6, 8",0.15,0.57,0.52,0.37
LOC100577679,origin recognition complex subunit 2,"4, 6",-0.12,-0.59,-0.58,-0.32
LOC410288,phytanoyl-CoA dioxygenase,8,0.11,0.17,0.38,0.96
